Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
SG,Rodney Hood,4700,Pho@Uta 08:00PM ET,23.911,Uta,1,0,22.393,13.841,9.562,26.250,15.000,28.200,0.335,-11.500,207.500,-0.779,20.500
C,Robin Lopez,4600,Mil@Chi 07:00PM ET,23.045,Chi,1,0,22.464,17.250,18.062,7.000,13.000,27.600,0.270,-3.000,204.000,-3.296,29.000
C,Greg Monroe,4600,Mil@Chi 07:00PM ET,24.000,Mil,0,0,22.321,15.969,26.125,9.250,8.500,27.600,0.368,3.000,204.000,-3.296,38.000
SF,Michael Kidd-Gilchrist,4600,Cle@Cha 07:00PM ET,23.023,Cha,1,0,22.464,16.736,28.938,17.500,27.000,27.600,0.303,1.000,210.500,1.378,23.500
C,Joakim Noah,4600,NY@Hou 08:00PM ET,21.652,NY,0,0,21.250,13.733,25.688,12.500,26.000,27.600,0.285,12.500,224.500,9.446,43.500
C,Tyson Chandler,4500,Pho@Uta 08:00PM ET,24.160,Pho,0,0,18.286,16.946,22.375,29.750,2.000,27.000,0.384,11.500,207.500,-17.779,21.250
PF,Marvin Williams,4300,Cle@Cha 07:00PM ET,21.417,Cha,1,0,17.893,15.750,20.312,19.750,14.000,25.800,0.278,1.000,210.500,1.378,23.500
PF/C,Derrick Favors,4300,Pho@Uta 08:00PM ET,20.139,Uta,1,0,15.143,13.568,17.188,21.000,23.000,25.800,0.300,-11.500,207.500,-0.779,24.500
PG/SG,Raymond Felton,4200,LAC@OKC 08:00PM ET,14.068,LAC,0,0,20.429,8.153,28.375,45.750,16.500,25.200,0.118,9.000,209.500,-3.341,19.500
PF/C,Marreese Speights,4200,LAC@OKC 08:00PM ET,19.050,LAC,0,0,20.929,13.274,22.812,28.250,13.500,25.200,0.239,9.000,209.500,-3.341,24.750
PG,Shelvin Mack,4200,Pho@Uta 08:00PM ET,17.008,Uta,1,0,22.750,9.768,18.000,8.000,26.000,25.200,0.148,-11.500,207.500,-0.779,14.000
SF/PF,Nikola Mirotic,4100,Mil@Chi 07:00PM ET,21.444,Chi,1,0,21.036,14.485,24.625,22.000,22.750,24.600,0.379,-3.000,204.000,-3.296,16.000
SG/SF,Jeremy Lamb,4000,Cle@Cha 07:00PM ET,17.705,Cha,1,0,14.929,8.455,19.875,23.250,27.500,24.000,0.294,1.000,210.500,1.378,20.000
PG/SG,Justin Holiday,4000,NY@Hou 08:00PM ET,15.281,NY,0,0,20.714,10.037,17.562,25.750,18.000,24.000,0.157,12.500,224.500,7.446,29.500
PG/SG,Brandon Knight,4000,Pho@Uta 08:00PM ET,21.545,Pho,0,0,24.214,16.039,20.562,11.000,3.500,24.000,0.380,11.500,207.500,-9013.916,0.000
SG/SF,Joe Ingles,4000,Pho@Uta 08:00PM ET,14.636,Uta,1,0,23.500,7.188,21.188,6.250,19.000,24.000,0.196,-11.500,207.500,-0.779,9.000
PG/SG,Malcolm Brogdon,3900,Mil@Chi 07:00PM ET,17.798,Mil,0,0,18.821,12.618,22.812,23.500,13.000,23.400,0.239,3.000,204.000,-3.296,49.000
C,John Henson,3900,Mil@Chi 07:00PM ET,19.224,Mil,0,0,16.714,12.688,12.688,11.250,8.500,23.400,0.326,3.000,204.000,-11.953,4.750
PG/SG,Brandon Jennings,3900,NY@Hou 08:00PM ET,20.375,NY,0,0,22.500,14.544,15.875,15.250,18.000,23.400,0.354,12.500,224.500,7.446,51.250
PG/SG,Matthew Dellavedova,3800,Mil@Chi 07:00PM ET,20.517,Mil,0,0,17.393,15.397,18.188,17.000,13.000,22.800,0.376,3.000,204.000,-3.296,0.000
PF/C,Kyle O'Quinn,3800,NY@Hou 08:00PM ET,17.468,NY,0,0,20.607,9.279,18.125,4.500,21.250,22.800,0.328,12.500,224.500,-4.586,0.000
PG/SG,Iman Shumpert,3700,Cle@Cha 07:00PM ET,15.908,Cle,0,0,14.857,10.983,16.188,12.500,17.500,22.200,0.156,-1.000,210.500,1.378,10.750
PF,Frank Kaminsky,3700,Cle@Cha 07:00PM ET,21.355,Cha,1,0,22.357,15.944,19.188,20.500,14.000,22.200,0.459,1.000,210.500,1.378,21.750
SG,Courtney Lee,3700,NY@Hou 08:00PM ET,19.018,NY,0,0,18.179,13.462,17.812,17.750,26.000,22.200,0.316,12.500,224.500,7.446,0.000
C,Nene Hilario,3700,NY@Hou 08:00PM ET,14.931,Hou,1,0,15.714,9.750,14.625,10.750,22.000,22.200,0.129,-12.500,224.500,4.120,4.500
SF,Luc Richard Mbah a Moute,3600,LAC@OKC 08:00PM ET,13.568,LAC,0,0,15.214,9.500,13.438,11.750,7.000,21.600,0.111,9.000,209.500,-3.341,8.250
PG,Ramon Sessions,3600,Cle@Cha 07:00PM ET,13.674,Cha,1,0,11.750,10.200,14.500,11.750,22.000,21.600,0.075,1.000,210.500,1.378,11.250
SG,Marco Belinelli,3600,Cle@Cha 07:00PM ET,18.967,Cha,1,0,15.464,13.033,16.688,0.000,28.000,21.600,0.376,1.000,210.500,-6.270,0.000
SF,P.J. Tucker,3600,Pho@Uta 08:00PM ET,17.462,Pho,0,0,13.286,8.891,17.875,20.000,1.000,21.600,0.345,11.500,207.500,-9004.779,16.500
SG/SF,Tony Snell,3500,Mil@Chi 07:00PM ET,17.233,Mil,0,0,17.179,11.583,20.312,7.000,13.250,21.000,0.294,3.000,204.000,-3.296,12.000
SG,J.R. Smith,3500,Cle@Cha 07:00PM ET,17.321,Cle,0,0,13.429,11.300,19.688,8.250,20.500,21.000,0.317,-1.000,210.500,-6.303,0.000
C,Alex Len,3500,Pho@Uta 08:00PM ET,22.210,Pho,0,0,19.536,15.721,16.562,13.500,2.000,21.000,0.552,11.500,207.500,-9014.109,10.500
SF,Andre Roberson,3400,LAC@OKC 08:00PM ET,18.447,OKC,1,0,22.536,10.821,12.938,10.250,21.000,20.400,0.405,-9.000,209.500,0.659,23.750
PF/C,Channing Frye,3400,Cle@Cha 07:00PM ET,16.635,Cle,0,0,15.929,11.096,14.812,7.250,18.750,20.400,0.309,-1.000,210.500,1.378,9.250
SF/PF,Sam Dekker,3400,NY@Hou 08:00PM ET,15.743,Hou,1,0,18.179,10.421,18.000,12.000,17.000,20.400,0.263,-12.500,224.500,3.446,7.250
PF,Trey Lyles,3400,Pho@Uta 08:00PM ET,18.167,Uta,1,0,20.357,12.544,20.250,22.000,21.500,20.400,0.382,-11.500,207.500,-8.251,10.500
SF/PF,Jerami Grant,3300,LAC@OKC 08:00PM ET,13.633,OKC,1,0,14.750,10.033,15.062,12.250,15.000,19.800,0.097,-9.000,209.500,-4.304,6.250
SF/PF,Michael Beasley,3300,Mil@Chi 07:00PM ET,15.740,Mil,0,0,15.786,8.812,17.750,22.250,15.250,19.800,0.307,3.000,204.000,-3.296,0.000
SF,Doug McDermott,3300,Mil@Chi 07:00PM ET,15.875,Chi,1,0,13.893,10.425,16.000,21.000,29.000,19.800,0.296,-3.000,204.000,-3.296,22.250
SF/PF,Dragan Bender,3300,Pho@Uta 08:00PM ET,8.058,Pho,0,0,16.321,3.485,17.875,6.750,1.000,19.800,0.101,11.500,207.500,-9004.779,10.250
SG,Alex Abrines,3200,LAC@OKC 08:00PM ET,8.471,OKC,1,0,7.714,3.577,14.438,13.750,6.500,19.200,0.057,-9.000,209.500,0.659,21.250
SF/PF,Richard Jefferson,3200,Cle@Cha 07:00PM ET,10.218,Cle,0,0,8.607,6.422,10.062,16.250,17.500,19.200,0.045,-1.000,210.500,1.378,6.250
SG/SF,Joe Johnson,3200,Pho@Uta 08:00PM ET,16.402,Uta,1,0,14.286,8.857,10.438,12.500,19.000,19.200,0.372,-11.500,207.500,-9.195,3.500
PF,Jared Dudley,3200,Pho@Uta 08:00PM ET,17.371,Pho,0,0,15.036,11.600,10.438,5.750,1.000,19.200,0.405,11.500,207.500,-9013.398,0.000
PF,Marquese Chriss,3100,Pho@Uta 08:00PM ET,13.727,Pho,0,0,16.571,9.042,14.125,11.000,1.000,18.600,0.241,11.500,207.500,-9004.779,6.000
PG,Semaj Christon,3000,LAC@OKC 08:00PM ET,9.211,OKC,1,0,11.036,4.667,9.312,14.750,2.000,18.000,0.048,-9.000,209.500,-8999.341,8.250
PG,Cameron Payne,3000,LAC@OKC 08:00PM ET,0.000,OKC,1,0,0.000,0.000,0.000,,2.000,18.000,,-9.000,209.500,-8999.341,0.000
SG,Anthony Morrow,3000,LAC@OKC 08:00PM ET,9.204,OKC,1,0,10.857,4.217,5.062,4.000,6.500,18.000,0.103,-9.000,209.500,-5.960,0.000
SF,Alan Anderson,3000,LAC@OKC 08:00PM ET,5.167,LAC,0,0,7.150,2.312,7.312,18.250,7.000,18.000,0.023,9.000,209.500,-3.341,10.750
SF,Wesley Johnson,3000,LAC@OKC 08:00PM ET,10.871,LAC,0,0,11.893,5.317,17.875,24.250,7.000,18.000,0.155,9.000,209.500,-9.942,1.250
SF,Kyle Singler,3000,LAC@OKC 08:00PM ET,4.250,OKC,1,0,2.643,1.333,2.250,2.000,21.000,18.000,0.001,-9.000,209.500,0.659,6.000
SF,Josh Huestis,3000,LAC@OKC 08:00PM ET,0.000,OKC,1,0,0.000,0.000,0.000,0.000,21.000,18.000,0.000,-9.000,209.500,0.000,0.000
PF/C,Joffrey Lauvergne,3000,LAC@OKC 08:00PM ET,12.828,OKC,1,0,14.964,7.662,8.500,-0.500,11.500,18.000,0.253,-9.000,209.500,0.659,12.750
PF,Paul Pierce,3000,LAC@OKC 08:00PM ET,6.795,LAC,0,0,9.800,3.500,6.938,12.750,15.000,18.000,0.014,9.000,209.500,-3.341,8.250
PF,Brandon Bass,3000,LAC@OKC 08:00PM ET,8.563,LAC,0,0,8.429,4.650,15.312,9.750,15.000,18.000,0.049,9.000,209.500,-3.341,27.000
PF,Brice Johnson,3000,LAC@OKC 08:00PM ET,0.000,LAC,0,0,0.000,0.000,0.000,0.000,15.000,18.000,0.000,9.000,209.500,0.000,0.000
PF,Domantas Sabonis,3000,LAC@OKC 08:00PM ET,14.644,OKC,1,0,13.571,9.972,16.750,13.250,9.000,18.000,0.313,-9.000,209.500,0.659,21.000
C,Nick Collison,3000,LAC@OKC 08:00PM ET,4.250,OKC,1,0,2.650,0.500,7.062,7.000,14.000,18.000,0.012,-9.000,209.500,0.659,0.000
C,Diamond Stone,3000,LAC@OKC 08:00PM ET,2.813,LAC,0,0,0.000,0.250,2.812,0.000,12.000,18.000,0.048,9.000,209.500,-3.341,0.000
PG/SG,Denzel Valentine,3000,Mil@Chi 07:00PM ET,5.976,Chi,1,0,6.286,2.500,8.812,0.000,10.000,18.000,0.012,-3.000,204.000,-3.296,3.500
PG,Jason Terry,3000,Mil@Chi 07:00PM ET,7.663,Mil,0,0,6.429,3.673,8.000,9.250,12.000,18.000,0.027,3.000,204.000,-3.296,9.500
PG,Isaiah Canaan,3000,Mil@Chi 07:00PM ET,11.660,Chi,1,0,8.607,7.203,5.000,3.250,4.000,18.000,0.199,-3.000,204.000,-9010.889,0.000
PG,Jerian Grant,3000,Mil@Chi 07:00PM ET,9.320,Chi,1,0,9.500,3.615,9.188,6.750,4.000,18.000,0.149,-3.000,204.000,-9003.296,7.000
PG,Michael Carter-Williams,3000,Mil@Chi 07:00PM ET,15.083,Chi,1,0,15.500,9.417,13.312,25.000,4.000,18.000,0.347,-3.000,204.000,-9003.296,18.750
SG,Khris Middleton,3000,Mil@Chi 07:00PM ET,0.000,Mil,0,0,0.000,0.000,0.000,0.000,14.000,18.000,0.000,3.000,204.000,0.000,0.000
SG,Rashad Vaughn,3000,Mil@Chi 07:00PM ET,7.839,Mil,0,0,4.107,1.406,4.125,11.250,14.000,18.000,0.153,3.000,204.000,-3.296,0.000
SF,Steve Novak,3000,Mil@Chi 07:00PM ET,1.036,Mil,0,0,1.500,0.000,1.500,3.500,12.500,18.000,0.005,3.000,204.000,-3.296,2.000
SF,Paul Zipser,3000,Mil@Chi 07:00PM ET,2.750,Chi,1,0,3.500,0.812,2.500,0.750,29.000,18.000,0.003,-3.000,204.000,-3.296,0.000
PF,Mirza Teletovic,3000,Mil@Chi 07:00PM ET,14.000,Mil,0,0,19.071,8.077,11.688,15.250,18.000,18.000,0.308,3.000,204.000,-3.296,11.750
PF,Bobby Portis,3000,Mil@Chi 07:00PM ET,9.557,Chi,1,0,9.107,5.554,8.875,0.750,16.500,18.000,0.105,-3.000,204.000,-10.123,0.000
PF,Thon Maker,3000,Mil@Chi 07:00PM ET,4.308,Mil,0,0,3.500,1.250,5.062,0.000,18.000,18.000,0.006,3.000,204.000,-3.296,3.500
C,Miles Plumlee,3000,Mil@Chi 07:00PM ET,6.489,Mil,0,0,1.607,2.058,3.250,1.500,8.500,18.000,0.044,3.000,204.000,-3.296,0.000
C,Cristiano Felicio,3000,Mil@Chi 07:00PM ET,11.230,Chi,1,0,12.786,6.135,16.625,33.500,13.000,18.000,0.176,-3.000,204.000,-3.296,13.500
PG,Mo Williams,3000,Cle@Cha 07:00PM ET,0.000,Cle,0,0,0.000,0.000,0.000,0.000,14.500,18.000,0.000,-1.000,210.500,0.000,0.000
PG,Brian Roberts,3000,Cle@Cha 07:00PM ET,3.656,Cha,1,0,2.800,0.562,5.250,5.000,22.000,18.000,0.012,1.000,210.500,-2.012,-0.500
PG,Aaron Harrison,3000,Cle@Cha 07:00PM ET,1.625,Cha,1,0,1.333,0.625,1.625,1.250,22.000,18.000,0.024,1.000,210.500,1.378,2.750
PG,Kay Felder,3000,Cle@Cha 07:00PM ET,9.911,Cle,0,0,12.958,4.778,16.938,19.250,14.500,18.000,0.168,-1.000,210.500,1.378,23.000
SG,James Jones,3000,Cle@Cha 07:00PM ET,4.736,Cle,0,0,7.929,1.792,2.062,3.250,20.500,18.000,0.014,-1.000,210.500,1.378,0.000
SG,DeAndre Liggins,3000,Cle@Cha 07:00PM ET,8.413,Cle,0,0,9.179,2.432,6.438,10.500,20.500,18.000,0.082,-1.000,210.500,1.378,12.500
SG,Jordan McRae,3000,Cle@Cha 07:00PM ET,7.132,Cle,0,0,9.450,2.062,8.562,11.000,20.500,18.000,0.026,-1.000,210.500,1.378,28.000
SF,Mike Dunleavy,3000,Cle@Cha 07:00PM ET,9.293,Cle,0,0,8.964,5.077,11.562,0.750,22.000,18.000,0.089,-1.000,210.500,-5.312,0.000
SF,Treveon Graham,3000,Cle@Cha 07:00PM ET,4.107,Cha,1,0,4.250,0.750,3.500,1.000,27.000,18.000,0.013,1.000,210.500,1.378,5.000
PF/C,Spencer Hawes,3000,Cle@Cha 07:00PM ET,15.804,Cha,1,0,16.571,8.583,7.688,12.250,10.000,18.000,0.406,1.000,210.500,-8.588,1.500
PF,Christian Wood,3000,Cle@Cha 07:00PM ET,2.500,Cha,1,0,0.000,0.000,0.000,,14.000,18.000,,1.000,210.500,1.378,0.000
C,Chris Andersen,3000,Cle@Cha 07:00PM ET,7.979,Cle,0,0,7.688,4.607,8.312,11.000,24.500,18.000,0.035,-1.000,210.500,1.378,0.000
C,Roy Hibbert,3000,Cle@Cha 07:00PM ET,13.287,Cha,1,0,14.500,8.883,13.375,10.500,6.000,18.000,0.269,1.000,210.500,-6.112,4.500
PG,Bobby Brown,3000,NY@Hou 08:00PM ET,0.656,Hou,1,0,1.333,0.000,1.312,0.000,13.000,18.000,0.003,-12.500,224.500,11.446,0.000
PG,Tyler Ennis,3000,NY@Hou 08:00PM ET,5.463,Hou,1,0,3.786,2.182,5.375,1.250,13.000,18.000,0.010,-12.500,224.500,7.012,0.000
SG/SF,Corey Brewer,3000,NY@Hou 08:00PM ET,8.934,Hou,1,0,8.393,5.105,12.812,21.250,20.000,18.000,0.053,-12.500,224.500,11.446,13.000
SG,Sasha Vujacic,3000,NY@Hou 08:00PM ET,5.463,NY,0,0,5.250,0.650,5.688,11.000,26.000,18.000,0.019,12.500,224.500,7.446,0.000
SG,Ron Baker,3000,NY@Hou 08:00PM ET,7.050,NY,0,0,8.125,3.458,9.188,0.750,26.000,18.000,0.052,12.500,224.500,7.446,0.000
SF/PF,Lance Thomas,3000,NY@Hou 08:00PM ET,8.071,NY,0,0,6.929,5.125,4.562,6.750,20.250,18.000,0.021,12.500,224.500,7.446,13.750
SF,K.J. McDaniels,3000,NY@Hou 08:00PM ET,6.213,Hou,1,0,2.607,2.250,2.375,0.000,14.000,18.000,0.034,-12.500,224.500,5.867,0.000
SF,Mindaugas Kuzminskas,3000,NY@Hou 08:00PM ET,8.019,NY,0,0,7.143,4.071,5.438,-0.500,24.000,18.000,0.042,12.500,224.500,7.446,21.000
PF,Kyle Wiltjer,3000,NY@Hou 08:00PM ET,2.306,Hou,1,0,4.833,0.375,1.000,3.250,20.000,18.000,0.006,-12.500,224.500,11.446,0.000
PF,Maurice Ndour,3000,NY@Hou 08:00PM ET,5.231,NY,0,0,5.042,2.833,4.625,4.500,16.500,18.000,0.003,12.500,224.500,7.446,6.000
C,Marshall Plumlee,3000,NY@Hou 08:00PM ET,5.000,NY,0,0,6.875,0.625,5.000,0.000,26.000,18.000,0.105,12.500,224.500,7.446,0.000
C,Guillermo Hernangomez,3000,NY@Hou 08:00PM ET,13.519,NY,0,0,15.750,5.667,7.188,4.000,26.000,18.000,0.332,12.500,224.500,7.446,17.000
C,Chinanu Onuaku,3000,NY@Hou 08:00PM ET,13.250,Hou,1,0,13.250,0.000,13.250,13.250,22.000,18.000,0.159,-12.500,224.500,11.446,0.000
PG/SG,Leandro Barbosa,3000,Pho@Uta 08:00PM ET,10.680,Pho,0,0,14.214,4.721,7.750,5.000,3.500,18.000,0.184,11.500,207.500,-9004.779,19.750
PG,Raul Neto,3000,Pho@Uta 08:00PM ET,4.721,Uta,1,0,5.286,1.159,5.375,0.000,26.000,18.000,0.022,-11.500,207.500,-0.779,12.750
PG,Dante Exum,3000,Pho@Uta 08:00PM ET,12.446,Uta,1,0,13.643,6.682,10.188,6.750,26.000,18.000,0.172,-11.500,207.500,-0.779,0.000
PG,Tyler Ulis,3000,Pho@Uta 08:00PM ET,7.863,Pho,0,0,9.000,3.768,5.438,16.500,6.000,18.000,0.107,11.500,207.500,-4.779,5.500
SG,John Jenkins,3000,Pho@Uta 08:00PM ET,2.563,Pho,0,0,3.375,0.000,2.562,3.500,1.000,18.000,0.025,11.500,207.500,-9004.779,0.000
SG,Alec Burks,3000,Pho@Uta 08:00PM ET,0.000,Uta,1,0,0.000,0.000,0.000,,15.000,18.000,,-11.500,207.500,-0.779,0.000
SF,Derrick Jones Jr.,3000,Pho@Uta 08:00PM ET,1.500,Pho,0,0,0.000,0.000,1.500,3.000,1.000,18.000,0.081,11.500,207.500,-9004.779,0.000
PF/C,Boris Diaw,3000,Pho@Uta 08:00PM ET,11.396,Uta,1,0,10.893,6.200,11.688,3.000,23.000,18.000,0.199,-11.500,207.500,-0.779,4.000
PF,Joel Bolomboy,3000,Pho@Uta 08:00PM ET,2.833,Uta,1,0,1.938,1.050,2.812,3.500,21.500,18.000,0.004,-11.500,207.500,-0.779,0.000
C,Jeff Withey,3000,Pho@Uta 08:00PM ET,7.948,Uta,1,0,8.179,3.875,8.438,0.000,24.500,18.000,0.041,-11.500,207.500,-6.177,0.000
C,Alan Williams,3000,Pho@Uta 08:00PM ET,9.768,Pho,0,0,16.429,3.659,4.375,0.000,2.000,18.000,0.275,11.500,207.500,-9004.779,0.000
