Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SG/SF,Kyle Korver,4300,Pho@Cle 07:00PM ET,18.653,CLE,1,0,23.821,11.583,14.750,0.000,5.136,18.750,25.800,220.500,-12.500,19.750
PF/C,Marreese Speights,4300,Min@LAC 10:30PM ET,19.820,LAC,1,0,22.000,13.880,25.500,0.000,-9003.659,10.000,25.800,208.000,1.000,19.500
PF/C,Channing Frye,4200,Pho@Cle 07:00PM ET,16.424,CLE,1,0,16.750,10.647,11.625,0.000,5.136,22.000,25.200,220.500,-12.500,39.000
SG,Jamal Crawford,4200,Min@LAC 10:30PM ET,18.895,LAC,1,0,19.964,12.073,8.062,0.000,-9003.659,6.000,25.200,208.000,1.000,23.000
C,Tristan Thompson,4100,Pho@Cle 07:00PM ET,24.044,CLE,1,0,22.464,18.489,24.062,2.404,-76.438,24.000,24.600,220.500,-12.500,14.500
SF,T.J. Warren,4000,Pho@Cle 07:00PM ET,23.259,PHO,0,0,17.250,11.964,19.812,0.000,1.136,27.000,24.000,220.500,12.500,29.250
SG,Seth Curry,3900,Dal@Mia 07:30PM ET,19.946,DAL,0,0,22.786,14.062,21.688,0.000,-9010.342,4.500,23.400,198.500,2.500,21.000
C,Willie Reed,3900,Dal@Mia 07:30PM ET,13.492,MIA,1,0,9.286,7.545,21.875,0.000,-9010.342,13.000,23.400,198.500,-2.500,15.250
PG/SG,Iman Shumpert,3800,Pho@Cle 07:00PM ET,15.872,CLE,1,0,15.500,10.929,17.688,0.000,5.136,20.500,22.800,220.500,-12.500,27.500
SF/PF,P.J. Tucker,3800,Pho@Cle 07:00PM ET,18.177,PHO,0,0,16.786,9.987,21.625,0.000,1.136,21.000,22.800,220.500,12.500,15.250
C,Alex Len,3800,Pho@Cle 07:00PM ET,20.718,PHO,0,0,17.107,13.762,10.125,0.000,-9092.805,6.000,22.800,220.500,12.500,9.750
PG,Brandon Jennings,3700,Was@NY 08:00PM ET,20.529,NY,1,0,16.786,13.478,16.438,0.000,-8995.216,4.000,22.200,220.000,2.500,10.750
SG,Manu Ginobili,3700,Den@SA 08:30PM ET,17.707,SA,1,0,15.429,12.583,11.688,0.000,4.081,28.500,22.200,219.000,-12.000,32.750
PG,J.J. Barea,3600,Dal@Mia 07:30PM ET,24.656,DAL,0,0,17.607,18.500,16.188,0.000,-9010.342,9.000,21.600,198.500,2.500,16.250
PG/SG,Ron Baker,3600,Was@NY 08:00PM ET,8.667,NY,1,0,8.500,3.300,9.312,0.000,-8995.216,8.000,21.600,220.000,2.500,8.000
SG,Danny Green,3600,Den@SA 08:30PM ET,17.689,SA,1,0,20.679,10.786,16.938,0.000,4.081,28.500,21.600,219.000,-12.000,19.750
PG/SG,Brandon Knight,3500,Pho@Cle 07:00PM ET,20.000,PHO,0,1,18.607,12.961,12.250,0.000,-91.749,23.250,21.000,220.500,12.500,3.000
SG,J.R. Smith,3500,Pho@Cle 07:00PM ET,17.321,CLE,1,1,17.750,11.300,19.688,0.000,-71.680,15.000,21.000,220.500,-12.500,0.000
PG,Jameer Nelson,3500,Den@SA 08:30PM ET,18.906,DEN,0,0,14.679,11.978,22.250,0.000,-8999.919,5.000,21.000,219.000,12.000,27.000
SG,Brandon Rush,3400,Min@LAC 10:30PM ET,7.938,MIN,0,0,4.679,3.229,15.062,0.000,-9003.659,7.500,20.400,208.000,-1.000,0.000
PF,David Lee,3400,Den@SA 08:30PM ET,15.900,SA,1,0,16.607,11.772,14.312,0.000,-8995.919,10.500,20.400,219.000,-12.000,38.500
C,Dewayne Dedmon,3400,Den@SA 08:30PM ET,15.393,SA,1,0,19.929,8.926,18.812,0.000,4.081,15.500,20.400,219.000,-12.000,17.500
C,Andrew Bogut,3300,Dal@Mia 07:30PM ET,19.614,DAL,0,1,18.750,14.604,12.188,0.000,-76.006,19.000,19.800,198.500,2.500,0.000
SG,Courtney Lee,3300,Was@NY 08:00PM ET,18.645,NY,1,0,16.893,12.676,16.688,0.000,-8995.216,12.000,19.800,220.000,2.500,15.500
SG,Justin Holiday,3300,Was@NY 08:00PM ET,14.797,NY,1,0,10.107,9.040,17.750,0.000,-8995.216,12.000,19.800,220.000,2.500,21.000
PF,Marquese Chriss,3200,Pho@Cle 07:00PM ET,14.287,PHO,0,0,14.857,9.217,18.250,0.000,1.136,15.000,19.200,220.500,12.500,14.500
SF,Wayne Ellington,3100,Dal@Mia 07:30PM ET,17.852,MIA,1,0,20.679,10.932,12.562,0.000,-9103.926,7.000,18.600,198.500,-2.500,4.500
PF/C,Dwight Powell,3100,Dal@Mia 07:30PM ET,17.646,DAL,0,0,16.500,12.109,10.312,0.000,-9086.897,13.000,18.600,198.500,2.500,9.000
PF,Luke Babbitt,3100,Dal@Mia 07:30PM ET,8.856,MIA,1,0,6.714,3.441,9.562,0.000,-9010.342,3.000,18.600,198.500,-2.500,7.250
PG/SG,Devin Harris,3000,Dal@Mia 07:30PM ET,11.260,DAL,0,0,11.107,5.933,11.938,0.000,-9088.382,6.750,18.000,198.500,2.500,3.000
PG,Pierre Jackson,3000,Dal@Mia 07:30PM ET,5.200,DAL,0,0,13.750,0.500,3.812,0.000,-9010.342,9.000,18.000,198.500,2.500,0.000
SG/SF,Rodney McGruder,3000,Dal@Mia 07:30PM ET,13.954,MIA,1,0,11.964,7.721,12.250,0.000,-9010.342,7.250,18.000,198.500,-2.500,14.250
SG,Nicolas Brussino,3000,Dal@Mia 07:30PM ET,4.750,DAL,0,0,5.607,1.062,3.562,0.000,-9010.342,4.500,18.000,198.500,2.500,0.000
SF,Dorian Finney-Smith,3000,Dal@Mia 07:30PM ET,11.138,DAL,0,0,7.643,6.115,4.562,0.000,-9010.342,8.000,18.000,198.500,2.500,7.500
SF,Justin Anderson,3000,Dal@Mia 07:30PM ET,13.845,DAL,0,0,8.500,7.938,2.188,0.000,-9095.043,8.000,18.000,198.500,2.500,0.000
PF,Josh McRoberts,3000,Dal@Mia 07:30PM ET,13.523,MIA,1,1,15.107,8.917,9.188,0.000,-9010.342,3.000,18.000,198.500,-2.500,0.000
PF,Derrick Williams,3000,Dal@Mia 07:30PM ET,12.326,MIA,1,0,12.429,7.769,11.312,0.000,-9073.297,3.000,18.000,198.500,-2.500,0.000
PF,Justise Winslow,3000,Dal@Mia 07:30PM ET,25.833,MIA,1,1,25.464,20.250,23.875,0.000,-9010.342,3.000,18.000,198.500,-2.500,0.000
C,Udonis Haslem,3000,Dal@Mia 07:30PM ET,5.679,MIA,1,0,4.208,1.321,10.750,0.000,-9010.342,13.000,18.000,198.500,-2.500,0.000
C,Salah Mejri,3000,Dal@Mia 07:30PM ET,10.972,DAL,0,0,11.143,4.737,12.938,0.000,-10.342,19.000,18.000,198.500,2.500,10.750
PG/SG,Leandro Barbosa,3000,Pho@Cle 07:00PM ET,10.575,PHO,0,0,11.786,4.988,6.500,0.000,-75.599,23.250,18.000,220.500,12.500,-0.500
PG,Kay Felder,3000,Pho@Cle 07:00PM ET,9.696,CLE,1,0,10.429,4.304,6.250,0.000,5.136,26.000,18.000,220.500,-12.500,2.000
PG,Tyler Ulis,3000,Pho@Cle 07:00PM ET,7.010,PHO,0,0,5.179,3.500,4.188,0.000,1.136,18.000,18.000,220.500,12.500,4.250
SG,James Jones,3000,Pho@Cle 07:00PM ET,4.370,CLE,1,0,3.500,1.422,2.312,0.000,5.136,15.000,18.000,220.500,-12.500,20.000
SG,DeAndre Liggins,3000,Pho@Cle 07:00PM ET,9.219,CLE,1,0,8.679,3.089,7.625,0.000,5.136,15.000,18.000,220.500,-12.500,7.000
SG,Jordan McRae,3000,Pho@Cle 07:00PM ET,8.222,CLE,1,0,10.071,2.875,3.062,0.000,-72.592,15.000,18.000,220.500,-12.500,0.000
SF/PF,Richard Jefferson,3000,Pho@Cle 07:00PM ET,10.219,CLE,1,0,15.143,5.977,9.188,0.000,5.136,21.250,18.000,220.500,-12.500,10.500
SF/PF,Dragan Bender,3000,Pho@Cle 07:00PM ET,8.235,PHO,0,0,12.500,3.583,13.000,0.000,1.136,21.000,18.000,220.500,12.500,7.750
PF,Jared Dudley,3000,Pho@Cle 07:00PM ET,16.858,PHO,0,1,12.786,11.000,7.750,0.000,-78.591,15.000,18.000,220.500,12.500,0.000
C,Chris Andersen,3000,Pho@Cle 07:00PM ET,7.979,CLE,1,1,8.714,4.607,8.312,0.000,5.136,24.000,18.000,220.500,-12.500,0.000
C,Alan Williams,3000,Pho@Cle 07:00PM ET,9.250,PHO,0,0,16.429,3.000,3.750,0.000,-8998.864,6.000,18.000,220.500,12.500,0.000
PG,Trey Burke,3000,Was@NY 08:00PM ET,8.372,WAS,0,0,6.321,4.476,9.000,0.000,4.784,13.500,18.000,220.000,-2.500,4.500
PG,Tomas Satoransky,3000,Was@NY 08:00PM ET,9.875,WAS,0,0,9.036,4.891,14.188,0.000,4.784,13.500,18.000,220.000,-2.500,11.000
SG,Sasha Vujacic,3000,Was@NY 08:00PM ET,5.728,NY,1,0,7.857,1.000,8.875,0.000,-8995.216,12.000,18.000,220.000,2.500,0.000
SG,Sheldon McClellan,3000,Was@NY 08:00PM ET,7.500,WAS,0,0,12.214,2.500,5.062,0.000,4.784,26.000,18.000,220.000,-2.500,0.000
SF/PF,Lance Thomas,3000,Was@NY 08:00PM ET,9.150,NY,1,1,10.964,5.375,7.562,0.000,-46.692,19.500,18.000,220.000,2.500,0.000
SF,Marcus Thornton,3000,Was@NY 08:00PM ET,12.712,WAS,0,0,9.500,6.875,13.688,0.000,-66.950,14.500,18.000,220.000,-2.500,0.000
PF/C,Jason Smith,3000,Was@NY 08:00PM ET,9.635,WAS,0,0,9.571,5.933,15.375,0.000,4.784,23.250,18.000,220.000,-2.500,19.500
PF,Maurice Ndour,3000,Was@NY 08:00PM ET,5.176,NY,1,0,3.964,2.714,5.000,0.000,4.784,23.000,18.000,220.000,2.500,0.000
C,Andrew Nicholson,3000,Was@NY 08:00PM ET,5.840,WAS,0,0,9.250,2.300,5.062,0.000,4.784,25.500,18.000,220.000,-2.500,0.000
C,Marshall Plumlee,3000,Was@NY 08:00PM ET,9.063,NY,1,0,1.250,0.625,9.062,0.000,-8995.216,9.000,18.000,220.000,2.500,3.250
C,Daniel Ochefu,3000,Was@NY 08:00PM ET,3.025,WAS,0,0,3.667,1.042,5.375,0.000,4.784,25.500,18.000,220.000,-2.500,0.000
PG,Kris Dunn,3000,Min@LAC 10:30PM ET,12.060,MIN,0,0,6.357,6.609,6.500,0.000,-9003.659,3.000,18.000,208.000,-1.000,18.500
PG,Tyus Jones,3000,Min@LAC 10:30PM ET,8.685,MIN,0,0,5.464,2.042,3.000,0.000,-9003.659,3.000,18.000,208.000,-1.000,10.500
SG/SF,Shabazz Muhammad,3000,Min@LAC 10:30PM ET,12.428,MIN,0,0,12.679,6.938,15.188,1.243,-9003.659,11.000,18.000,208.000,-1.000,12.500
SG,Alan Anderson,3000,Min@LAC 10:30PM ET,5.406,LAC,1,0,2.893,2.450,6.125,0.000,-9003.659,6.000,18.000,208.000,1.000,0.000
SF/PF,Nemanja Bjelica,3000,Min@LAC 10:30PM ET,13.431,MIN,0,0,11.750,6.812,16.875,0.000,-9092.873,9.750,18.000,208.000,-1.000,2.750
SF,Paul Pierce,3000,Min@LAC 10:30PM ET,6.917,LAC,1,0,4.292,3.500,6.938,0.000,-9003.659,5.000,18.000,208.000,1.000,0.000
SF,Wesley Johnson,3000,Min@LAC 10:30PM ET,10.444,LAC,1,0,10.071,5.487,11.562,0.000,-9003.659,5.000,18.000,208.000,1.000,5.250
PF,Brandon Bass,3000,Min@LAC 10:30PM ET,9.639,LAC,1,0,11.786,4.839,12.188,0.000,-9003.659,8.000,18.000,208.000,1.000,22.000
PF,Jordan Hill,3000,Min@LAC 10:30PM ET,5.350,MIN,0,0,9.375,0.625,5.000,0.000,-9003.659,5.000,18.000,208.000,-1.000,0.000
PF,Adreian Payne,3000,Min@LAC 10:30PM ET,9.000,MIN,0,0,7.250,4.625,4.812,0.000,-9003.659,5.000,18.000,208.000,-1.000,0.000
C,Cole Aldrich,3000,Min@LAC 10:30PM ET,9.257,MIN,0,0,10.786,5.159,4.812,0.000,-9003.659,7.000,18.000,208.000,-1.000,2.750
C,Diamond Stone,3000,Min@LAC 10:30PM ET,2.813,LAC,1,0,2.812,0.250,2.812,0.000,-9003.659,12.000,18.000,208.000,1.000,0.000
PG/SG,Jamal Murray,3000,Den@SA 08:30PM ET,14.906,DEN,0,0,14.679,8.310,7.812,0.000,0.081,13.250,18.000,219.000,12.000,24.500
PG,Bryn Forbes,3000,Den@SA 08:30PM ET,1.483,SA,1,0,2.536,0.114,0.812,0.000,4.081,30.000,18.000,219.000,-12.000,0.000
PG,Malik Beasley,3000,Den@SA 08:30PM ET,4.545,DEN,0,0,3.200,0.821,5.188,0.000,-8999.919,5.000,18.000,219.000,12.000,0.000
PG,Dejounte Murray,3000,Den@SA 08:30PM ET,5.100,SA,1,1,6.500,1.682,7.688,0.000,4.081,30.000,18.000,219.000,-12.000,32.500
SG,Mike Miller,3000,Den@SA 08:30PM ET,4.000,DEN,0,0,1.125,1.312,5.438,0.000,0.081,21.500,18.000,219.000,12.000,8.250
SG,Kyle Anderson,3000,Den@SA 08:30PM ET,8.694,SA,1,0,7.214,4.054,4.375,0.000,-72.646,28.500,18.000,219.000,-12.000,0.000
SF/PF,Davis Bertans,3000,Den@SA 08:30PM ET,6.860,SA,1,0,10.357,2.250,7.062,0.000,4.081,13.750,18.000,219.000,-12.000,10.000
SF,Alonzo Gee,3000,Den@SA 08:30PM ET,3.654,DEN,0,0,2.125,0.531,0.375,0.000,-8999.919,2.000,18.000,219.000,12.000,0.000
PF,Darrell Arthur,3000,Den@SA 08:30PM ET,11.176,DEN,0,1,11.786,5.611,16.125,0.000,-8999.919,2.000,18.000,219.000,12.000,0.000
C,Jusuf Nurkic,3000,Den@SA 08:30PM ET,20.861,DEN,0,0,21.071,11.763,12.062,0.000,-9115.056,3.000,18.000,219.000,12.000,7.750
