Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
SF/PF,Aaron Gordon,6500,ORL@BOS 11/24/2017 07:30PM ET,35.063,ORL,31.86,32.25,31.69417918,33.39008929,0
PG/SG,Jrue Holiday,6500,NO@PHO 11/24/2017 09:00PM ET,30.958,NO,31.16,34.25,30.7398071,31.81440476,0
SF/PF,Tobias Harris,6500,DET@OKC 11/24/2017 08:00PM ET,30.544,DET,29.63,33.25,28.46537218,31.00702381,0
PF/C,Paul Millsap,6500,MEM@DEN 11/24/2017 09:00PM ET,31.828,DEN,0,0,0,0,0
PF,Lauri Markkanen,6400,CHI@GS 11/24/2017 10:30PM ET,30.516,CHI,31.45,33.5,30.27219311,24.40486111,0
PG,Jeff Teague,6400,MIA@MIN 11/24/2017 08:00PM ET,33.167,MIN,32.72,35.25,34.28131038,37.44184524,0
SF/PF,Andrew Wiggins,6300,MIA@MIN 11/24/2017 08:00PM ET,29.903,MIN,32.23,31.25,31.60122342,26.25583333,0
PG,Mike Conley,6300,MEM@DEN 11/24/2017 09:00PM ET,28.771,MEM,0,0,0,0,0
SG/SF,Nicolas Batum,6200,CHA@CLE 11/24/2017 08:00PM ET,24.15,CHA,0,0,0,0,0
PF/C,Enes Kanter,6100,NY@ATL 11/24/2017 07:30PM ET,30.426,NY,30.81,29,32.94061793,23.06107143,0
PG/SG,Avery Bradley,6100,DET@OKC 11/24/2017 08:00PM ET,26.721,DET,26.58,24,25.15183291,26.12007937,0
PG,Darren Collison,6000,TOR@IND 11/24/2017 08:00PM ET,28.931,IND,30.13,27,28.81108841,27.04208333,0
SF/PF,Thaddeus Young,6000,TOR@IND 11/24/2017 08:00PM ET,27.556,IND,28.36,31.25,27.48663098,28.97511905,0
PG,Reggie Jackson,6000,DET@OKC 11/24/2017 08:00PM ET,29.368,DET,27.45,27,30.69667849,32.10327381,0
SG/SF,Will Barton,6000,MEM@DEN 11/24/2017 09:00PM ET,29.208,DEN,33.02,35.25,29.56914667,32.71544643,0
SG/SF,Evan Fournier,5900,ORL@BOS 11/24/2017 07:30PM ET,31.181,ORL,27.85,27.5,29.26926026,24.86181548,0
PF,James Johnson,5800,MIA@MIN 11/24/2017 08:00PM ET,27.266,MIA,25.22,26.5,28.48845185,28.15531746,0
SF/PF,Jayson Tatum,5700,ORL@BOS 11/24/2017 07:30PM ET,27.395,BOS,30.01,28.25,26.67428616,29.41611111,0
PG,Elfrid Payton,5700,ORL@BOS 11/24/2017 07:30PM ET,25.694,ORL,33.59,26.5,29.52658221,24.80375,0
PF/C,Domantas Sabonis,5700,TOR@IND 11/24/2017 08:00PM ET,28.609,IND,24.32,27.75,28.83547196,27.1775,0
SG/SF,Justin Holiday,5600,CHI@GS 11/24/2017 10:30PM ET,27.317,CHI,28.52,28.5,28.24330915,31.72380952,0
SG/SF,Dion Waiters,5600,MIA@MIN 11/24/2017 08:00PM ET,26.667,MIA,28.83,28,29.39693447,23.91196429,0
PG/SG,Kris Dunn,5500,CHI@GS 11/24/2017 10:30PM ET,27.479,CHI,30.45,30.5,28.5326901,25.23482143,0
SG/SF,Kent Bazemore,5400,NY@ATL 11/24/2017 07:30PM ET,28.125,ATL,28.04,30,29.03535576,36.9985119,0
SG/SF,Denzel Valentine,5400,CHI@GS 11/24/2017 10:30PM ET,23.172,CHI,26.79,24.5,24.51437574,26.09104167,0
PG,Mario Chalmers,5300,MEM@DEN 11/24/2017 09:00PM ET,21.221,MEM,31.39,22,24.63684854,30.08150641,0
SG/SF,Taurean Prince,5200,NY@ATL 11/24/2017 07:30PM ET,26.625,ATL,26.14,23.25,26.24883776,21.35391414,0
PF,Bobby Portis,5200,CHI@GS 11/24/2017 10:30PM ET,27.313,CHI,22.35,20,25.28876823,23.71166667,0
PG/SG,Dwyane Wade,5200,CHA@CLE 11/24/2017 08:00PM ET,23.794,CLE,27.4,21.5,26.80871329,23.85458333,0
C,Steven Adams,5200,DET@OKC 11/24/2017 08:00PM ET,29.268,OKC,29.11,33.5,30.07161564,30.28366071,0
PG/SG,Jamal Murray,5200,MEM@DEN 11/24/2017 09:00PM ET,22.431,DEN,24.88,20.25,23.50584291,26.02309524,0
C,Dewayne Dedmon,5100,NY@ATL 11/24/2017 07:30PM ET,25.292,ATL,26.46,21.25,27.57160842,25.07893398,0
SG/SF,Marcus Smart,5100,ORL@BOS 11/24/2017 07:30PM ET,25.588,BOS,28.45,29.5,26.14152912,34.36050595,0
SG/SF,Jeremy Lamb,5100,CHA@CLE 11/24/2017 08:00PM ET,30.25,CHA,34.37,36.5,30.6228672,31.10125,0
PF/C,Taj Gibson,5100,MIA@MIN 11/24/2017 08:00PM ET,25.347,MIN,22.84,20.75,25.34496484,28.81666667,0
SG,Gary Harris,5100,MEM@DEN 11/24/2017 09:00PM ET,25.781,DEN,26.33,24.75,26.80916782,31.17354167,0
PF/C,Serge Ibaka,5000,TOR@IND 11/24/2017 08:00PM ET,23.017,TOR,28.28,23.5,24.18536211,24.74157738,0
PF/C,Nikola Mirotic,5000,CHI@GS 11/24/2017 10:30PM ET,0,CHI,0,0,0,0,0
SF/PF,Marcus Morris,4900,ORL@BOS 11/24/2017 07:30PM ET,24.175,BOS,21.05,15.75,23.30254017,17.22375,0
PG,Rajon Rondo,4900,NO@PHO 11/24/2017 09:00PM ET,17.9,NO,27.01,23.5,18.2357849,23.68306548,0
SF/PF,Wilson Chandler,4900,MEM@DEN 11/24/2017 09:00PM ET,20.162,DEN,24.31,19.75,21.98388845,21.31886905,0
PF/C,John Collins,4800,NY@ATL 11/24/2017 07:30PM ET,24.903,ATL,30.27,25.75,26.89334939,33.23988636,0
C,Jonas Valanciunas,4800,TOR@IND 11/24/2017 08:00PM ET,21.654,TOR,20.34,19,20.07904629,21.51583333,0
PF/C,Greg Monroe,4700,NO@PHO 11/24/2017 09:00PM ET,21.167,PHO,21.38,21.25,22.71444282,25.11333333,0
C,Robin Lopez,4700,CHI@GS 11/24/2017 10:30PM ET,24.625,CHI,26.66,22.5,25.60174304,25.55925595,0
SG/SF,Courtney Lee,4600,NY@ATL 11/24/2017 07:30PM ET,24.25,NY,25.35,23.5,26.9736785,25.28874008,0
SG/SF,Bojan Bogdanovic,4500,TOR@IND 11/24/2017 08:00PM ET,23.431,IND,26.58,22.25,25.11961625,17.96829212,0
PF/C,Alex Len,4500,NO@PHO 11/24/2017 09:00PM ET,24.059,PHO,13.49,20.5,22.92225524,19.70541667,0
PG/SG,Zach LaVine,4500,CHI@GS 11/24/2017 10:30PM ET,0,CHI,0,0,0,0,0
SG/SF,Josh Richardson,4500,MIA@MIN 11/24/2017 08:00PM ET,19.779,MIA,21.09,24.25,21.75597155,25.91805556,0
PG/SG,Terry Rozier,4400,ORL@BOS 11/24/2017 07:30PM ET,20.684,BOS,19.52,20.25,22.48678953,26.68869048,0
C,Tyson Chandler,4400,NO@PHO 11/24/2017 09:00PM ET,21.446,PHO,20.54,18.75,21.59013983,21.17077381,0
PG/SG,Jerian Grant,4400,CHI@GS 11/24/2017 10:30PM ET,21.203,CHI,11.54,18.25,15.69153868,21.10684524,0
PG,Derrick Rose,4400,CHA@CLE 11/24/2017 08:00PM ET,19.786,CLE,0,0,0,0,0
SF/PF,JaMychal Green,4300,MEM@DEN 11/24/2017 09:00PM ET,17.1,MEM,23.81,18.5,19.9471257,17.16666667,0
SG/SF,Jonathon Simmons,4200,ORL@BOS 11/24/2017 07:30PM ET,22.056,ORL,19.3,23.75,21.10648779,24.03627976,0
PG,Mike James,4200,NO@PHO 11/24/2017 09:00PM ET,22.237,PHO,15.91,21.25,22.29322851,21.45848214,0
PG,Emmanuel Mudiay,4200,MEM@DEN 11/24/2017 09:00PM ET,20.556,DEN,22.14,20.25,23.38619779,21.7625,0
SG/SF,C.J. Miles,4100,TOR@IND 11/24/2017 08:00PM ET,17.313,TOR,0,0,0,0,0
PG,Tyler Ulis,4100,NO@PHO 11/24/2017 09:00PM ET,16.778,PHO,26.51,21.5,22.62423381,15.8491369,0
SF/PF,Jerami Grant,4100,DET@OKC 11/24/2017 08:00PM ET,18.691,OKC,15.06,17.25,18.83161787,11.66041667,0
SF/PF,Justise Winslow,4100,MIA@MIN 11/24/2017 08:00PM ET,18.265,MIA,18.06,15.5,18.77981128,17.656875,0
SG/SF,Dillon Brooks,4100,MEM@DEN 11/24/2017 09:00PM ET,19.015,MEM,20.04,15.25,17.70646724,18.69,0
C,Joakim Noah,4000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PG/SG,Frank Ntilikina,4000,NY@ATL 11/24/2017 07:30PM ET,15.217,NY,14.54,17.75,11.87866394,17.42916667,0
SG/SF,Andre Iguodala,4000,CHI@GS 11/24/2017 10:30PM ET,16.469,GS,17.92,19.25,18.36620973,17.36577381,0
PG/SG,David Nwaba,4000,CHI@GS 11/24/2017 10:30PM ET,18.313,CHI,0,0,0,0,0
SF,Michael Kidd-Gilchrist,4000,CHA@CLE 11/24/2017 08:00PM ET,17.205,CHA,23.17,17.75,21.77188489,15.63363095,0
SG/SF,J.R. Smith,4000,CHA@CLE 11/24/2017 08:00PM ET,16.5,CLE,18.83,15.25,21.815407,18.26875916,0
PF/C,Kelly Olynyk,4000,MIA@MIN 11/24/2017 08:00PM ET,19.559,MIA,14.76,19.5,17.41074218,18.0775,0
PG/SG,Tyler Johnson,4000,MIA@MIN 11/24/2017 08:00PM ET,20.031,MIA,21.14,21.75,21.45783924,22.75688492,0
SF/PF,Chandler Parsons,4000,MEM@DEN 11/24/2017 09:00PM ET,16.683,MEM,18.78,16.25,17.02227527,16.08559524,0
PF/C,Frank Kaminsky,3900,CHA@CLE 11/24/2017 08:00PM ET,20.313,CHA,20.51,23.75,22.01147079,17.68107143,0
PG,Jarrett Jack,3800,NY@ATL 11/24/2017 07:30PM ET,17.867,NY,20.46,17,18.80021533,18.81616071,0
SF/PF,Luke Babbitt,3800,NY@ATL 11/24/2017 07:30PM ET,13.912,ATL,0,0,0,0,0
SF/PF,Ersan Ilyasova,3800,NY@ATL 11/24/2017 07:30PM ET,13.143,ATL,8.17,10,8.809555849,10.73833333,0
SG,Marco Belinelli,3800,NY@ATL 11/24/2017 07:30PM ET,21.417,ATL,22.97,22.75,24.52336695,26.12930556,0
PF,Pascal Siakam,3800,TOR@IND 11/24/2017 08:00PM ET,18.172,TOR,24.06,20.75,20.71563231,18.6977877,0
SG/SF,Glenn Robinson III,3800,TOR@IND 11/24/2017 08:00PM ET,0,IND,0,0,0,0,0
PF/C,Marquese Chriss,3800,NO@PHO 11/24/2017 09:00PM ET,17.684,PHO,14.89,16,18.11036486,16.28779762,0
SG/SF,Paul Zipser,3800,CHI@GS 11/24/2017 10:30PM ET,10.212,CHI,5.48,7.75,7.474882982,9.368571429,0
SF/PF,Jae Crowder,3800,CHA@CLE 11/24/2017 08:00PM ET,16.792,CLE,21.54,16.25,21.90284908,14.81416667,0
SF/PF,Marvin Williams,3800,CHA@CLE 11/24/2017 08:00PM ET,18.603,CHA,22.25,16.5,21.45979143,18.63145833,0
PF/C,Tristan Thompson,3800,CHA@CLE 11/24/2017 08:00PM ET,13.781,CLE,0,0,0,0,0
SG/SF,Stanley Johnson,3800,DET@OKC 11/24/2017 08:00PM ET,16.804,DET,17.52,18.25,18.95517201,17.47092803,0
PF/C,Kenneth Faried,3800,MEM@DEN 11/24/2017 09:00PM ET,9.533,DEN,4.97,8,7.689264638,11.64041667,0
SG/SF,Terrence Ross,3700,ORL@BOS 11/24/2017 07:30PM ET,19.403,ORL,19.51,17,20.89521343,16.4764881,0
PG/SG,D.J. Augustin,3700,ORL@BOS 11/24/2017 07:30PM ET,18.523,ORL,0,0,0,0,0
SF/PF,OG Anunoby,3700,TOR@IND 11/24/2017 08:00PM ET,12.676,TOR,14.41,9.5,14.01453838,9.410565476,0
SG/SF,Norman Powell,3700,TOR@IND 11/24/2017 08:00PM ET,16.923,TOR,17.16,14.5,16.54564437,17.5925,0
SG/SF,E'Twaun Moore,3700,NO@PHO 11/24/2017 09:00PM ET,21.097,NO,20.58,19,20.17955676,20.58650794,0
SF/PF,Jeff Green,3700,CHA@CLE 11/24/2017 08:00PM ET,17.25,CLE,16.14,16.5,20.6451738,18.18125,0
PG,Ish Smith,3700,DET@OKC 11/24/2017 08:00PM ET,18.588,DET,17.28,20.75,17.97685939,16.50922619,0
PF/C,Gorgui Dieng,3700,MIA@MIN 11/24/2017 08:00PM ET,13.65,MIN,11.46,11.25,10.75000763,11.92011905,0
PG,Cory Joseph,3600,TOR@IND 11/24/2017 08:00PM ET,19.639,IND,19.23,14.25,20.39567665,20.13892857,0
SG/SF,Lance Stephenson,3600,TOR@IND 11/24/2017 08:00PM ET,16.958,IND,19.99,14.25,18.91864386,14.68958333,0
SG/SF,Josh Jackson,3600,NO@PHO 11/24/2017 09:00PM ET,17.645,PHO,12.8,21,17.98282464,18.72410714,0
PG/SG,Jameer Nelson,3600,NO@PHO 11/24/2017 09:00PM ET,18.344,NO,14.54,17,17.24759401,15.59873106,0
SF/PF,Omri Casspi,3600,CHI@GS 11/24/2017 10:30PM ET,12.75,GS,10.76,10.5,13.66616591,12.38285714,0
PG/SG,Shaun Livingston,3600,CHI@GS 11/24/2017 10:30PM ET,12.234,GS,12.96,12.75,14.03060544,13.83623016,0
SG/SF,Kyle Korver,3600,CHA@CLE 11/24/2017 08:00PM ET,17.389,CLE,18.09,15,21.49825362,17.63855159,0
C,Cody Zeller,3600,CHA@CLE 11/24/2017 08:00PM ET,18.019,CHA,15.27,16.25,18.30225974,24.42363095,0
PG/SG,Malik Monk,3600,CHA@CLE 11/24/2017 08:00PM ET,14.283,CHA,2,8,11.97632851,8.890833333,0
PG/SG,Iman Shumpert,3600,CHA@CLE 11/24/2017 08:00PM ET,13.208,CLE,0,0,0,0,0
PF/C,Bam Adebayo,3600,MIA@MIN 11/24/2017 08:00PM ET,9.5,MIA,1.09,6.5,6.504753695,5.751577381,0
SG,Jamal Crawford,3600,MIA@MIN 11/24/2017 08:00PM ET,15.444,MIN,11.26,13.25,11.62421655,17.25125,0
PF/C,Mason Plumlee,3600,MEM@DEN 11/24/2017 09:00PM ET,16.903,DEN,19.17,17,17.05781064,18.68392857,0
SF/PF,Juancho Hernangomez,3600,MEM@DEN 11/24/2017 09:00PM ET,7.964,DEN,0,0,0,0,0
SG/SF,James Ennis III,3600,MEM@DEN 11/24/2017 09:00PM ET,15.559,MEM,8.97,8.75,14.58122601,14.59675595,0
SF/PF,Doug McDermott,3500,NY@ATL 11/24/2017 07:30PM ET,14.926,NY,15.77,14.5,15.9434304,11.21700397,0
C,Mike Muscala,3500,NY@ATL 11/24/2017 07:30PM ET,16.333,ATL,0,0,0,0,0
PF/C,Kyle O'Quinn,3500,NY@ATL 11/24/2017 07:30PM ET,18.015,NY,16.58,18.5,18.69690233,19.77232143,0
C,Aron Baynes,3500,ORL@BOS 11/24/2017 07:30PM ET,14.882,BOS,13.23,10,16.13875954,15.3359127,0
PG,Fred VanVleet,3500,TOR@IND 11/24/2017 08:00PM ET,12.015,TOR,15.87,11.25,14.67668422,14.5453869,0
PF/C,Al Jefferson,3500,TOR@IND 11/24/2017 08:00PM ET,16.725,IND,0,0,0,0,0
PG/SG,Delon Wright,3500,TOR@IND 11/24/2017 08:00PM ET,16.536,TOR,0,0,0,0,0
SF/PF,Dante Cunningham,3500,NO@PHO 11/24/2017 09:00PM ET,12.639,NO,9.59,13,13.32510051,14.67541667,0
PF/C,David West,3500,CHI@GS 11/24/2017 10:30PM ET,15.676,GS,14.75,14.5,17.69880182,14.5975,0
SF/PF,Anthony Tolliver,3500,DET@OKC 11/24/2017 08:00PM ET,14.393,DET,11.07,10.5,12.13107901,13.79083333,0
SG/SF,Shabazz Muhammad,3500,MIA@MIN 11/24/2017 08:00PM ET,7.556,MIN,6.55,5.25,7.331070958,7.881845238,0
SG/SF,Ben McLemore,3500,MEM@DEN 11/24/2017 09:00PM ET,9.458,MEM,10.74,4.75,14.40011778,4.16125,0
SF/PF,Lance Thomas,3400,NY@ATL 11/24/2017 07:30PM ET,8.357,NY,9.85,6.75,8.871103334,5.902301587,0
PG/SG,Malcolm Delaney,3400,NY@ATL 11/24/2017 07:30PM ET,12.828,ATL,13.12,13.25,13.161519,13.26791667,0
PF/C,Guillermo Hernangomez,3400,NY@ATL 11/24/2017 07:30PM ET,7.583,NY,0,0,0,0,0
PG,Shelvin Mack,3400,ORL@BOS 11/24/2017 07:30PM ET,16.317,ORL,3.37,11.75,11.97754147,10.04375,0
C,Lucas Nogueira,3400,TOR@IND 11/24/2017 08:00PM ET,12.857,TOR,6.95,7.75,11.71520949,9.306597222,0
PF/C,Dragan Bender,3400,NO@PHO 11/24/2017 09:00PM ET,14.487,PHO,13.17,14,16.2599938,13.21007576,0
PF,Jared Dudley,3400,NO@PHO 11/24/2017 09:00PM ET,11.35,PHO,0,0,0,0,0
PG/SG,Ian Clark,3400,NO@PHO 11/24/2017 09:00PM ET,10.95,NO,3.75,9,9.890456717,5.6325,0
PF/C,Channing Frye,3400,CHA@CLE 11/24/2017 08:00PM ET,8.844,CLE,14.17,7,13.37832183,12.85553571,0
SG/SF,Dwayne Bacon,3400,CHA@CLE 11/24/2017 08:00PM ET,12.309,CHA,10.57,10.75,15.62985737,14.68034091,0
SG/SF,Alex Abrines,3400,DET@OKC 11/24/2017 08:00PM ET,8.324,OKC,8.2,8.25,8.121503795,7.07968254,0
C,Dakari Johnson,3400,DET@OKC 11/24/2017 08:00PM ET,6.722,OKC,1.43,6,6.575241766,4.977083333,0
SG/SF,Wayne Ellington,3400,MIA@MIN 11/24/2017 08:00PM ET,12.75,MIA,12.01,10.25,11.81201784,8.450151515,0
SF/PF,Nemanja Bjelica,3400,MIA@MIN 11/24/2017 08:00PM ET,13.514,MIN,11.07,9.25,10.56387934,8.093888889,0
PF/C,Jarell Martin,3400,MEM@DEN 11/24/2017 09:00PM ET,12.641,MEM,9.23,7.5,14.31043898,12.2989881,0
PG/SG,Andrew Harrison,3400,MEM@DEN 11/24/2017 09:00PM ET,8.875,MEM,2.52,5.75,12.41292495,4.721111111,0
PG,Isaiah Taylor,3300,NY@ATL 11/24/2017 07:30PM ET,12.519,ATL,0,0,0,0,0
SF/PF,Michael Beasley,3300,NY@ATL 11/24/2017 07:30PM ET,10.229,NY,4.35,10.75,7.484504882,8.722083333,0
PF,Tyler Cavanaugh,3300,NY@ATL 11/24/2017 07:30PM ET,7.583,ATL,8.3,7.75,8.476939774,10.29571429,0
PG,Ramon Sessions,3300,NY@ATL 11/24/2017 07:30PM ET,13.708,NY,1.17,12.5,7.895071331,12.7064881,0
SG,Damyean Dotson,3300,NY@ATL 11/24/2017 07:30PM ET,5.1,NY,0.81,3,6.255811446,2.943511905,0
PF/C,Daniel Theis,3300,ORL@BOS 11/24/2017 07:30PM ET,10.889,BOS,5.74,6,9.859874139,11.40039683,0
SF/PF,Jonathan Isaac,3300,ORL@BOS 11/24/2017 07:30PM ET,16.229,ORL,0,0,0,0,0
PF/C,Jakob Poeltl,3300,TOR@IND 11/24/2017 08:00PM ET,14.809,TOR,10.39,12,13.30776291,10.33354167,0
SG,Troy Daniels,3300,NO@PHO 11/24/2017 09:00PM ET,9.342,PHO,7.24,6,8.438176938,10.51473214,0
SF,Darius Miller,3300,NO@PHO 11/24/2017 09:00PM ET,10.931,NO,10.76,13.75,13.43111145,8.540833333,0
PF,Cheick Diallo,3300,NO@PHO 11/24/2017 09:00PM ET,6.375,NO,3.08,4.5,7.68603255,3.576666667,0
SG,Nick Young,3300,CHI@GS 11/24/2017 10:30PM ET,11.059,GS,9.84,10.5,12.20672593,11.83488095,0
PF/C,Ante Zizic,3300,CHA@CLE 11/24/2017 08:00PM ET,4.65,CLE,1.26,5,6.316997713,7.3375,0
SG/SF,Andre Roberson,3300,DET@OKC 11/24/2017 08:00PM ET,13.088,OKC,17.22,16.25,16.92872688,18.99672619,0
SG,Luke Kennard,3300,DET@OKC 11/24/2017 08:00PM ET,10.979,DET,9.83,11.5,11.01769148,7.805277778,0
PG/SG,Raymond Felton,3300,DET@OKC 11/24/2017 08:00PM ET,14.735,OKC,11.25,15,14.00323102,13.57791667,0
PF/C,Brandan Wright,3300,MEM@DEN 11/24/2017 09:00PM ET,13.983,MEM,0,0,0,0,0
PF/C,Bismack Biyombo,3200,ORL@BOS 11/24/2017 07:30PM ET,12.389,ORL,13.43,13.25,11.5714383,10.359375,0
PG,Shane Larkin,3200,ORL@BOS 11/24/2017 07:30PM ET,6.172,BOS,4.39,3.75,9.409697951,5.755833333,0
SF/PF,Semi Ojeleye,3200,ORL@BOS 11/24/2017 07:30PM ET,5.347,BOS,3.33,3.75,7.856331352,3.5525,0
C,Alan Williams,3200,NO@PHO 11/24/2017 09:00PM ET,0,PHO,0,0,0,0,0
SG/SF,Patrick McCaw,3200,CHI@GS 11/24/2017 10:30PM ET,6.95,GS,4.75,4,8.495154606,9.395138889,0
PG,Michael Carter-Williams,3200,CHA@CLE 11/24/2017 08:00PM ET,12.583,CHA,13.23,15.75,15.75777991,14.20895833,0
SF/PF,Trey Lyles,3200,MEM@DEN 11/24/2017 09:00PM ET,8.038,DEN,13.78,9,10.0434493,10.87954365,0
PF/C,Marreese Speights,3100,ORL@BOS 11/24/2017 07:30PM ET,13.536,ORL,11.57,12,11.00941503,12.15678571,0
C,Zaza Pachulia,3100,CHI@GS 11/24/2017 10:30PM ET,12.764,GS,13.3,13,14.80472525,13.93595238,0
PF/C,Patrick Patterson,3100,DET@OKC 11/24/2017 08:00PM ET,7.353,OKC,7.24,8.25,7.765170324,12.8240873,0
PG/SG,Tyler Dorsey,3000,NY@ATL 11/24/2017 07:30PM ET,2.625,ATL,0,0,0,0,0
SG/SF,DeAndre' Bembry,3000,NY@ATL 11/24/2017 07:30PM ET,7.438,ATL,9.78,9,9.221105751,11.4135092,0
SG/SF,Nicolas Brussino,3000,NY@ATL 11/24/2017 07:30PM ET,1.25,ATL,0,0,0,0,0
C,Miles Plumlee,3000,NY@ATL 11/24/2017 07:30PM ET,0,ATL,0,0,0,0,0
PG,Josh Magette,3000,NY@ATL 11/24/2017 07:30PM ET,4.625,ATL,2.52,2,6.416964578,2.898863636,0
PF,Luke Kornet,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PF,Isaiah Hicks,3000,NY@ATL 11/24/2017 07:30PM ET,0,NY,0,0,0,0,0
PG/SG,Ron Baker,3000,NY@ATL 11/24/2017 07:30PM ET,12,NY,0,0,0,0,0
PF/C,Khem Birch,3000,ORL@BOS 11/24/2017 07:30PM ET,3,ORL,0,0,0,0,0
SG/SF,Wes Iwundu,3000,ORL@BOS 11/24/2017 07:30PM ET,4.05,ORL,0,0,0,0,0
PG/SF,Mario Hezonja,3000,ORL@BOS 11/24/2017 07:30PM ET,7.625,ORL,2.17,7.75,7.033921478,5.079166667,0
PF,Adreian Payne,3000,ORL@BOS 11/24/2017 07:30PM ET,0,ORL,0,0,0,0,0
